point_id,role,series_id,group_id,case_id,metric,source_value,source_unit,normalized_value,normalized_unit,measurement_uncertainty,digitization_uncertainty,conversion_uncertainty,coverage_factor,engineering_absolute_tolerance,engineering_relative_tolerance,source_locator,pool_applicability
alciatore_cut_000,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_000,cue_ball_target_line_angle,0,degree,0,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_008,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_008,cue_ball_target_line_angle,13,degree,13,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_020,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_020,cue_ball_target_line_angle,34,degree,34,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_034,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_034,cue_ball_target_line_angle,50,degree,50,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_046,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_046,cue_ball_target_line_angle,61,degree,61,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_057,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_057,cue_ball_target_line_angle,70,degree,70,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_067,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_067,cue_ball_target_line_angle,78,degree,78,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_077,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_077,cue_ball_target_line_angle,87,degree,87,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
alciatore_cut_090,confirmation_target,alciatore_frozen_cue_ball,frozen_cue_ball_angle_relation,alciatore_cut_090,cue_ball_target_line_angle,90,degree,90,degree,0,0,0.28867513459481292,2,3,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",DIRECT
source_frozen_ball_contact,source_apparatus_fact,alciatore_frozen_cue_ball,source_apparatus,source_frozen_ball_contact,frozen_ball_contact,1,dimensionless,1,dimensionless,0,0,0,2,0,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",NOT_APPLICABLE
source_high_speed_video,source_apparatus_fact,alciatore_frozen_cue_ball,source_apparatus,source_high_speed_video,high_speed_video_method,1,dimensionless,1,dimensionless,0,0,0,2,0,0,"PDF p.2, M_exper: column <0> theta_exper; column <1> phi_exper",NOT_APPLICABLE
contract_initial_ball_gap_cm,scenario_contract,alciatore_frozen_cue_ball,confirmation_scenario_contract,contract_initial_ball_gap_cm,initial_ball_gap,0,cm,0,cm,0,0,0,2,0,0,Repository preregistered scenario contract,NOT_APPLICABLE
contract_cue_elevation_degrees,scenario_contract,alciatore_frozen_cue_ball,confirmation_scenario_contract,contract_cue_elevation_degrees,cue_elevation,0,degree,0,degree,0,0,0,2,0,0,Repository preregistered scenario contract,NOT_APPLICABLE
contract_centered_tip_lateral_fraction,scenario_contract,alciatore_frozen_cue_ball,confirmation_scenario_contract,contract_centered_tip_lateral_fraction,cue_tip_lateral_offset,0,dimensionless,0,dimensionless,0,0,0,2,0,0,Repository preregistered scenario contract,NOT_APPLICABLE
contract_centered_tip_vertical_fraction,scenario_contract,alciatore_frozen_cue_ball,confirmation_scenario_contract,contract_centered_tip_vertical_fraction,cue_tip_vertical_offset,0,dimensionless,0,dimensionless,0,0,0,2,0,0,Repository preregistered scenario contract,NOT_APPLICABLE
